id,name,host_id,host_name,zip_code,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2802949,Central Denver residential location,14290993,Maggie,Highland,39.7681386,-105.0195548,Private room,59,3,9,8/7/2015,0.37,1,174
747085,"Huge, Amazing Master-Double Shower!",3920621,Krista,Highland,39.76820625,-105.0007631,Private room,55,3,55,1/25/2016,1.35,2,73
4576625,Mega House*Walk Everywhere*EcoHome,23724674,Danielle And Shane,Highland,39.7610168,-105.0085074,Entire home/apt,499,2,54,5/12/2016,3.2,2,155
4612572,Updated 1885 Highlands Victorian,10053017,Emily And David,Highland,39.76822075,-105.0166285,Entire home/apt,175,3,2,5/19/2015,0.14,1,86
5184766,LoHi- WalkDwntwn free bus or train,671251,Rob,Highland,39.75897195,-105.0112289,Entire home/apt,99,1,0,,,1,0
1045667,"Bright, Modern Private Bedroom LOHI",3920621,Krista,Highland,39.76845199,-105.0017344,Private room,55,5,45,7/3/2015,1.22,2,316
7348308,1 Bedroom Modern Condo in LoHi,9217043,Marc,Highland,39.76140273,-105.0126577,Entire home/apt,125,14,0,,,1,0
3166947,Restored Historic Home in Hip LoHi,6065807,Kimberly,Highland,39.7603577,-105.0181962,Entire home/apt,175,1,43,4/17/2016,1.83,2,145
12072343,Denver loft in the heart of it all!,11817280,Christine,Highland,39.75763993,-105.0169143,Entire home/apt,140,2,2,5/9/2016,2,2,99
12761953,Private bdrm in the best location,6323081,Brian,Highland,39.75874083,-105.0150545,Private room,48,1,1,5/8/2016,1,1,71
12771796,1BD in Hip LoHi with roof deck!,24914564,Jenny,Highland,39.76038781,-105.0087259,Entire home/apt,125,1,0,,,1,200
259616,All New..walk to Downtown Denver!,1362862,Christine,Highland,39.76580953,-105.0148251,Entire home/apt,258,2,44,3/27/2016,0.81,1,277
2653512,Modern Industrial Guesthouse,5817350,Marcie,Highland,39.76335703,-105.0188118,Entire home/apt,129,3,29,5/8/2016,1.99,1,297
7931953,"Sunny Cottage in Hip, Historic LoHi",6065807,Kimberly,Highland,39.75985332,-105.0168396,Entire home/apt,150,1,86,5/17/2016,9.59,2,138
9010867,Prime Location!  Great home in LoHi,12241986,Tanya,Highland,39.76348588,-105.0063734,Entire home/apt,145,1,13,5/9/2016,2.64,1,297
1737365,Stylish & Historic Loft in HOT LoHi,3378084,Alexandra,Highland,39.75878447,-105.0135285,Entire home/apt,149,3,26,5/7/2016,0.89,2,321
2827887,Cozy Cottage in Lower Highlands 2BR,5181201,Danno & Rachel,Highland,39.76646608,-105.0028833,Entire home/apt,200,1,16,9/27/2015,0.77,3,278
12274820,Modern house in Denver's lohi,66129592,Ana,Highland,39.76017632,-105.0087137,Entire home/apt,500,3,0,,,2,341
10189224,"Queenbed, One Kitchen, One Bathroom",37793016,Nathan,Highland,39.75675159,-105.0131148,Entire home/apt,100,1,0,,,1,0
12360019,A Modern House in Denver's Lohi,66129592,Ana,Highland,39.75935152,-105.0075568,Entire home/apt,275,1,0,,,2,365
9151471,Charm & Warmth Victorian Mod..,11817280,Christine,Highland,39.76622801,-105.0173792,Entire home/apt,220,3,0,,,2,0
8126877,"LoHi Lookout—View, Location, Luxury",7719426,Keating & Shiva,Highland,39.76381317,-105.0105839,Entire home/apt,350,3,6,11/16/2015,0.81,1,139
4992412,"Cozy Cottage in Lo Highlands, 2nd b",5181201,Danno & Rachel,Highland,39.76633664,-105.0039207,Private room,100,1,0,,,3,278
12901481,Gorgeous Modern Family LoHi Home,53616684,Jenny,Highland,39.76443729,-105.0102505,Entire home/apt,575,2,0,,,1,344
2942068,Cozy Cottage in Lo Highlands Mr bed,5181201,Danno & Rachel,Highland,39.76661432,-105.0021172,Private room,125,2,8,8/9/2015,0.36,3,278
6156061,Modern Home in Lohi / Downtown!,24595890,Mark,Highland,39.76625631,-105.0029874,Entire home/apt,475,1,33,5/10/2016,2.61,1,311
