listing_id,date
1327668,2016-02-21
1542779,2015-09-06
676107,2015-03-15
3090769,2016-05-02
2514832,2014-08-11
2478886,2016-08-18
433996,2016-04-11
1347317,2014-10-20
5456,2015-04-02
392345,2014-10-11
4068884,2015-03-28
2274720,2016-03-04
4102866,2016-11-13
3349679,2015-09-25
576243,2013-01-26
8032556,2016-05-30
8540409,2015-12-06
13685533,2016-11-15
7775772,2016-04-15
1511053,2017-01-16
14982491,2017-02-05
294708,2016-09-05
576243,2015-06-02
4597440,2016-03-22
244785,2013-04-03
5020354,2017-01-27
1458379,2014-06-05
11282369,2016-06-26
11165050,2016-09-30
329306,2014-06-18
763934,2014-04-28
15238414,2017-01-27
9712541,2016-08-10
1391925,2016-10-02
8267598,2016-09-08
15220631,2017-02-28
945496,2016-10-16
9136983,2016-09-20
217637,2016-09-05
9510082,2016-10-02
14163045,2016-09-18
3424259,2016-11-13
1732132,2014-07-25
1182544,2016-10-01
13466259,2016-07-24
6025598,2017-02-07
256464,2012-07-25
943528,2016-05-17
15205439,2017-02-24
1622688,2016-07-31
2500385,2015-03-12
7679,2010-08-27
1883861,2016-10-24
1402358,2016-02-14
4429001,2015-09-30
78831,2014-07-04
6759963,2016-09-18
1875121,2016-12-25
3013429,2016-02-05
338117,2016-03-22
755676,2016-03-08
1402938,2017-02-26
7651087,2017-01-30
11142549,2016-02-20
166561,2014-08-18
78884,2011-09-19
633127,2012-09-25
5083004,2015-06-02
8923047,2016-10-03
5258002,2015-03-23
7775772,2016-02-21
959555,2014-02-18
6079005,2015-07-05
4279079,2016-12-27
2352061,2015-03-17
230933,2017-01-31
11099663,2016-07-17
4092417,2016-10-29
15231722,2017-01-29
16253395,2017-01-17
433996,2015-02-28
7747837,2015-08-31
646392,2013-04-06
7005164,2016-09-28
8186242,2015-11-08
8221372,2016-08-13
1880094,2015-12-08
2254712,2017-01-16
1836429,2016-03-17
1735020,2014-04-14
7495750,2016-07-14
6704541,2016-10-14
15395320,2017-02-06
7733669,2016-08-21
4164781,2015-04-27
33419,2016-11-26
12309900,2017-02-20
12340038,2016-05-25
4453418,2015-01-19
2200205,2016-07-14
230933,2013-04-01
2371846,2015-02-16
15875572,2017-01-01
5257917,2016-10-30
4809253,2016-03-08
78731,2017-02-06
2454556,2017-02-20
329306,2014-02-13
999823,2016-07-16
10825723,2016-08-21
3394382,2016-06-07
4121482,2017-01-29
7351170,2016-12-23
11959131,2017-02-22
11400538,2016-05-01
104099,2016-07-02
6391710,2015-08-02
7582790,2015-11-01
8131911,2016-04-17
2406039,2015-08-29
13266490,2016-12-01
1157317,2015-11-09
5475507,2016-09-26
1499714,2016-10-18
3914437,2014-09-07
2442412,2016-05-16
356575,2017-01-12
8273931,2015-12-24
13827026,2016-12-04
15220631,2016-12-28
1236371,2014-03-13
78831,2014-04-07
1952273,2015-12-07
13136019,2016-07-10
1682346,2014-03-21
1213690,2015-03-13
16238095,2017-01-17
317148,2015-03-24
1255816,2014-10-30
3053308,2015-01-07
738553,2014-04-16
1499714,2014-06-05
632659,2015-03-28
280440,2015-02-17
11436439,2016-07-13
323733,2013-09-30
69352,2012-08-27
13952043,2016-10-17
669469,2015-04-29
951272,2015-05-28
280440,2014-11-18
5424819,2015-09-25
776859,2015-12-21
354263,2015-06-28
3775485,2015-05-12
9462044,2016-09-05
7091147,2016-04-17
15239379,2017-02-18
10808197,2016-03-20
256464,2014-07-23
3163510,2015-01-12
7308730,2016-06-27
9731339,2016-03-04
5426241,2015-03-19
762400,2016-10-17
2011847,2016-01-31
5438680,2016-01-03
932231,2015-09-28
14088157,2017-01-29
2502923,2015-10-25
920038,2016-12-04
223230,2014-11-02
11142549,2016-03-10
5438705,2016-12-11
354263,2014-01-20
1741604,2016-01-24
15498881,2017-01-15
628034,2015-08-16
4111528,2017-01-08
4465308,2016-02-07
5259718,2015-08-11
9186966,2016-03-23
5257917,2016-02-07
1717810,2014-04-28
5001074,2016-03-28
7818619,2016-10-07
78831,2016-07-31
2336183,2014-12-30
27632,2011-02-08
1703216,2013-11-13
7726673,2015-10-09
8688394,2016-07-09
8581257,2016-10-17
3104453,2016-09-25
2948580,2015-10-01
2408361,2015-02-18
12901899,2016-10-12
838496,2016-06-06
2515481,2016-12-12
1440830,2014-03-29
5412078,2016-12-18
342039,2015-03-08
16054569,2016-12-23
5769,2011-10-05
5532511,2016-04-18
1913498,2014-09-19
141550,2013-07-08
354542,2015-03-17
1732956,2016-06-05
3226987,2016-03-26
5240594,2016-10-01
585041,2016-05-01
5768194,2016-09-06
1645518,2016-02-28
3512799,2015-11-10
628034,2015-01-07
894743,2016-10-04
2406039,2015-10-04
15273690,2016-10-30
1954417,2014-02-24
4952000,2015-03-20
969135,2015-05-03
8594847,2016-10-10
78898,2016-09-20
5339997,2015-03-12
5682215,2016-01-02
4824833,2016-03-17
16403155,2017-02-19
10635135,2017-01-03
1264454,2016-05-29
146153,2012-03-15
528338,2016-02-11
4295585,2016-10-23
10992927,2016-08-29
8880973,2016-08-30
5526127,2015-10-27
632659,2016-11-22
5419307,2016-08-14
733203,2015-08-09
959270,2015-08-03
2426905,2016-05-08
4013329,2017-01-15
929758,2016-03-15
5251657,2015-09-21
8427091,2016-12-07
1906190,2016-03-17
11282369,2016-06-21
2380176,2016-10-03
8067300,2016-09-25
2149762,2016-04-13
1079379,2016-07-12
528338,2014-05-25
2168813,2016-04-10
3828744,2015-12-31
4892181,2016-07-17
2336368,2016-09-11
2453663,2015-11-18
5558744,2017-01-25
3021366,2017-02-21
5096161,2016-08-04
847982,2015-11-09
347802,2013-09-13
6813599,2016-10-23
7020988,2016-05-18
11739422,2017-02-18
2266768,2015-09-21
276522,2013-07-09
322834,2016-09-05
742593,2016-09-05
936401,2015-01-26
942333,2015-03-09
969135,2015-05-29
4145599,2016-04-18
7245795,2015-09-08
4654381,2016-09-04
2514832,2016-07-29
16559045,2017-02-21
371539,2015-08-24
4174499,2016-11-07
838496,2016-06-03
6063670,2016-10-30
964847,2016-11-10
955612,2016-06-06
6025598,2015-09-27
1732132,2014-03-27
5510293,2017-02-20
2208270,2014-10-30
2248559,2015-11-28
907229,2013-02-26
911955,2014-01-27
4208941,2016-10-03
4370174,2014-12-20
5594013,2015-11-08
17159721,2017-02-26
3661871,2015-09-21
1755803,2016-05-10
7160584,2016-09-23
11351108,2016-05-03
4255787,2016-02-15
783376,2016-04-11
14982491,2016-10-23
701392,2016-08-11
11545557,2016-05-16
385526,2014-08-03
7747487,2016-11-16
755676,2015-12-28
5543526,2016-10-21
4974255,2016-09-20
17121999,2017-02-19
7895514,2015-09-26
8590446,2016-11-26
13915284,2016-08-18
1195493,2015-01-17
5404946,2016-10-19
12418747,2016-05-01
16679102,2017-02-19
16999421,2017-02-26
1024819,2014-06-05
3226987,2015-07-01
522136,2012-09-27
8255065,2016-04-11
1079379,2016-04-11
304866,2013-02-09
2855712,2015-05-03
13378848,2017-02-20
676107,2015-01-11
1741604,2014-11-22
4892181,2016-04-07
8192070,2016-04-02
6169517,2015-06-26
1969618,2014-03-03
14685261,2016-10-03
5369746,2015-10-17
1024819,2016-10-18
4279079,2016-10-26
776713,2015-10-06
8567050,2015-12-08
16707765,2017-03-06
10992927,2016-03-02
12308357,2017-01-08
8220727,2016-05-03
4555867,2014-12-23
9014340,2017-02-10
5928709,2016-09-04
3478000,2015-11-23
1013523,2014-09-15
15274359,2017-01-29
364269,2016-12-04
9525147,2016-06-12
5251462,2015-12-01
6846884,2015-10-05
342039,2015-05-31
7462609,2016-08-12
1182544,2014-06-30
1881597,2015-11-25
2979222,2016-12-11
3163510,2016-11-18
4774398,2016-10-09
1507941,2016-12-08
1635453,2015-06-01
5570822,2016-09-21
5521345,2015-09-21
5506227,2016-01-02
2453663,2015-09-06
11281378,2016-11-28
8308227,2016-05-23
2532340,2015-11-14
5412078,2016-01-25
4279738,2015-10-06
2223634,2015-07-19
11142096,2016-08-21
522136,2015-02-16
8054795,2016-05-16
5499091,2016-06-21
2174970,2016-10-30
13237930,2016-12-06
10828537,2017-01-23
1703216,2015-10-12
2028500,2016-11-13
7826574,2016-08-11
5674141,2016-09-04
15858113,2017-02-20
11043967,2016-07-31
6612246,2016-10-22
13697566,2016-09-05
4227044,2016-08-30
3959242,2014-10-18
5415285,2016-03-16
4149311,2016-07-24
1416162,2015-10-06
607536,2013-05-08
11318454,2016-03-21
11342585,2017-01-01
992903,2013-07-08
528338,2013-09-06
4726661,2016-01-05
4171708,2017-01-12
12903100,2016-07-10
296286,2014-01-08
2349447,2014-04-15
999823,2016-02-16
11398275,2016-05-21
5718552,2016-05-27
3946696,2014-11-09
6556314,2016-11-12
915082,2016-10-04
1109489,2015-06-26
4121482,2016-05-31
5485801,2017-01-22
2011122,2014-04-16
